id,title,image,author_id,author,description,count,play,add,share,comment
6666416916,"[迷幻民谣] 沉溺于诗意幻觉 
",D:/Project/Python/week12Crawler/result/images/109951165813966380.jpg,1463586082,云音乐官方歌单,"介绍：
迷幻民谣诞生于60年代民谣复兴的巅峰时期，承接了迷幻摇滚的致幻元素，但其氛围受益于民谣而更接近于梦境和药物幻觉的效果。许多迷幻民谣在民谣吉他创作的基础之上选择结合中世纪音乐，印度古典音乐等具有传统音乐特点的创作元素，使配器层次更加丰富。

在歌曲的处理上，除了人声多见的空灵唱腔之外，混响的增强和声音扭曲化等调试也在后期非常常见。歌曲内涵方面，除了对情感的探讨，邪典文化和神秘主义，包括对自然的歌颂等也有涉及。

迷幻民谣问世为民谣音乐开辟新道路带来了更多可能性，同时也为日后另类音乐的发展带来了启发。
",60,1627959,3823,21,13
7751341793,"民谣驿站∶疲惫灵魂的栖息疗愈处
",D:/Project/Python/week12Crawler/result/images/109951168066611756.jpg,287937556,常迷道故,"介绍：
相信应该每个人都有过地铁上睡觉的经历，早早起床赶公交换地铁，已经成了一线城市普通打工人的日常，但是生活仍要继续，我们还需努力。不要有太大的压力，也别让自己太累了，来这送你一首民谣，希望能让你疲惫心灵得到释放，加油啊陌生人，这是属于我们的时代！
",37,3522,618,0,1
7672744825,"民谣‖浮生酒馆
",D:/Project/Python/week12Crawler/result/images/109951167973465444.jpg,1909411358,32刻,"
纯音|面朝大海，春暖花开
",33,44,0,1,评论
2423379465,"「民谣」 你的名字 美如诗
",D:/Project/Python/week12Crawler/result/images/109951167817400371.jpg,1292823886,解优先生,"介绍：
如果马頔小时候不认识舒傲寒 董小姐也没牵宋冬野的手 赵雷没去过南方 尧十三错过了他的北方女王 祝星一开始就很爱陈粒 民谣还只是小众音乐 你还是面不改色 生活没有因此变一丝一毫 所以 明天该来的还会来 过不了的一样过 你只不过是多听了几个人的故事 多动了几次心
",98,5004210,38158,363,92
553129694,"【精选民谣】就老去吧，孤独别醒来
",D:/Project/Python/week12Crawler/result/images/18591642116124133.jpg,371876620,爱听音乐的猫大叔,"
纯音|面朝大海，春暖花开
",143,10949459,118195,2040,459
2570672647,"民谣排行榜_好听的民谣歌曲大全100首
",D:/Project/Python/week12Crawler/result/images/109951163745257475.jpg,82706946,侠侣亲子-许天准,"介绍：
内地的民谣歌曲主要是由20世纪90年代的校园民谣与今天的新民谣组成。校园民谣以青春、校园、怀旧为主，而新民谣也唱青春，但主要是理想、生活、情感为主。今天为大家分享的100首好听的民谣排行榜歌曲，里面很多都是大家耳熟能详的歌曲。
",402,922163,6624,54,30
7705613672,"私藏小众|值得收藏和单循的民谣曲
",D:/Project/Python/week12Crawler/result/images/109951167997502539.jpg,7883335557,萌萌比卡丘呐,"
纯音|面朝大海，春暖花开
",60,18918,0,0,评论
7648678288,"不就一个姑娘嘛
",D:/Project/Python/week12Crawler/result/images/109951167898744390.jpg,530769462,趙雷yw,"
纯音|面朝大海，春暖花开
",20,11,0,0,评论
7650866442,"学院路旁的斯文痞子「民谣」
",D:/Project/Python/week12Crawler/result/images/109951168024098379.jpg,574935844,士多啤梨咖哩啡,同步歌单，随时畅听320k好音乐,101,283,1,3,评论
743461146,"『程璧』我想和你虚度时光
",D:/Project/Python/week12Crawler/result/images/109951163841131920.jpg,448095941,林夕Crush,同步歌单，随时畅听320k好音乐,49,6197,26,0,评论
7541066113,"【意•民谣】私藏在生活里的温柔
",D:/Project/Python/week12Crawler/result/images/109951167686945295.jpg,3226737265,Lyrft,同步歌单，随时畅听320k好音乐,72,44567,269,7,2
643554189,"爱上诗和远方的你 | 民谣歌单☀
",D:/Project/Python/week12Crawler/result/images/109951164322777516.jpg,263463124,Ruyao_,"
纯音|面朝大海，春暖花开
",235,728417,6959,145,61
2350280884,"【民谣】不止南山南 持更
",D:/Project/Python/week12Crawler/result/images/109951166007042145.jpg,387203918,南方安某人,"
纯音|面朝大海，春暖花开
",405,125360,961,12,20
2665646063,"总有一首民谣，会让我留下眼泪
",D:/Project/Python/week12Crawler/result/images/109951165234211616.jpg,504029225,傲娇姐不再傲娇,"介绍：
2019.1.24.《未给姐姐递出的信》今天，第24天单曲循环。
2019.3.25《我曾》第3天单曲循环。享受隔壁老樊的烟嗓和真实的情感。
2019.3.26《多想在平庸的生活中拥抱你》喜欢他的歌词，喜欢他的故事。
2019.4.8 《一个人的北京》忙碌的一早上会议，一个人艰难的在北京守护着自己的梦。
2019.5.1 《凌晨三点》一夜无眠，今天忽然发现凌晨三点的北京微微亮...
2019.5.4 《你是人间四月天》忽然想听一首非常幸福的歌，幸福到甜，但不腻...
2019.5.28 《关于南方破碎的》在这家公司的倒计时三天了，陪伴了我两年六个月，一切过往都已成回忆了。
2019.9.30 《四块五》很喜欢他的声音，很怀念怀揣着梦想和口袋只有四块五的日子。
2019.10.5 《莎娜姑娘》再次遇上民谣，再次掉进了这个又真实又让人心疼的民谣里。
2019.10.7《关于孤独我想说的话》“我一个人也害怕，我把床头摆满了娃娃，我怕我有一天不知道哪里才是我的家”
2019.10.7 《你的姑娘》曾经有一个给了我无数的温暖的人，只希望你跟别人聊天，会说一句“曾经有个很爱我的姑娘”仅此而已。
2019.10.19 《世界美好与你环环相扣》进考场前，闺蜜小傻子给我发来这首歌…戴着耳机，边听边流泪～
2019.10.26 《这些民谣，一次听个够》民谣，晚安。
2019.10.29 《我不是你的宋冬野》清晨，忽然有放起了这首歌，对啊，我的宋冬野呢？
2019.10.31 《晚安》轻轻的一声晚安，代表了所有。
2019.11.11 《三十岁的女人》深夜10.45，位于西安咸阳机场的飞机上。听着这首歌，默默的流下泪
2019.11.15 《秋酿》《失眠的陈先生》这是两首易烊千玺推荐的歌，安静～
2019.12.7《New boy》电影《一生有你》，一路有民谣
2020.1.1《这一生关于你的风景》
2020.2.28《别怕，我在》
2020.3.21 今夜的北京，有点冷…
",52,885728,4753,57,15
566999837,"民谣可以从这些歌开始听
",D:/Project/Python/week12Crawler/result/images/109951162874778449.jpg,392492731,听歌的人不许掉眼泪_-,同步歌单，随时畅听320k好音乐,557,516380,2579,45,10
7551098893,"民谣里的爱别离 I 你是人间理想乡
",D:/Project/Python/week12Crawler/result/images/109951167866987128.jpg,1361633352,蛋壳Maxd,"介绍：
你是 忽而大雨瓢泼的向往
你是 小城艳阳高照的清香
你是 无力抗拒不停追逐的磁场
你是 傍晚落日余晖的方向
你是我不能拥抱的短暂理想
你是旅途
你是故乡
你是 不愿停下的难忘情长
你是 忽明忽暗的不悔时光
你是 一束生命的全力绽放
你是 认真书写的一笔一划
你是解药
你是营养
你是 四海为家的回头牵肠
你是 我独享的遗憾和渴望
你是我不愿醒来的梦啊柔情一场

——《十二》留声玩具

民谣主题：亲情、爱情、离别、青春与友情
",47,11813,55,4,评论
4952954469,"房东的猫/解忧邵帅/隔壁老樊/枯木逢春
",D:/Project/Python/week12Crawler/result/images/109951164873858833.jpg,1331544916,_南鸽先生_,"
纯音|面朝大海，春暖花开
",96,2611977,16530,343,25
479941152,"没有姑娘和欲望，只有诗意和歌谣
",D:/Project/Python/week12Crawler/result/images/109951162795482106.jpg,88850613,倾听之隅,同步歌单，随时畅听320k好音乐,850,183818,1464,67,22
52680539,"程璧才不是民谣狗
",D:/Project/Python/week12Crawler/result/images/7856010580843890.jpg,663130,俺这辣贝贝,"介绍：
你看到的我，是看过很多美景后，发现最美不过平常。也许是你放学一直走过的路，普通却难忘。也许是榕树下一朵不起眼的野花，普通却倔强的盛放。又或许是从屋檐摔碎的雨，普通却用生命奏出最美的声响。我就在你向往的远方，温暖而又明亮。只愿你留在身旁，听我用心歌唱。
",30,248345,2848,31,59
7579730133,"民谣躲在安静的小酒馆里
",D:/Project/Python/week12Crawler/result/images/109951167763150104.jpg,443893337,chelife,"
纯音|面朝大海，春暖花开
",554,16509,117,0,评论
7686644983,"民谣有三 听者有三
",D:/Project/Python/week12Crawler/result/images/109951167974444158.jpg,508440532,_李铭辉,同步歌单，随时畅听320k好音乐,44,80,0,0,评论
7579034791,"民谣ଘ陪你度过的青春ଓ最真挚的告白♡
",D:/Project/Python/week12Crawler/result/images/109951167934363668.jpg,1361633352,蛋壳Maxd,"
纯音|面朝大海，春暖花开
",40,45304,218,16,评论
7667038258,"「活在你歌里的人」
",D:/Project/Python/week12Crawler/result/images/18892908300128861.jpg,39077193,魔小可,"
服务条款|
隐私政策|
儿童隐私政策|
版权投诉|
投资者关系|
广告合作
|
联系我们
",36,13,0,0,评论
5104124883,"民谣，唱尽百态人生
",D:/Project/Python/week12Crawler/result/images/109951165139441983.jpg,2040442269,胡一亦,同步歌单，随时畅听320k好音乐,91,113600,1717,6,4
7734714703,"人间烟火最抚人心
",D:/Project/Python/week12Crawler/result/images/109951168042046807.jpg,427473775,小羊歪头心动论_,"
服务条款|
隐私政策|
儿童隐私政策|
版权投诉|
投资者关系|
广告合作
|
联系我们
",17,19,0,0,评论
615902086,"有民谣的地方，就有最好听的故事
",D:/Project/Python/week12Crawler/result/images/18568552371703284.jpg,17175036,七羚子,"介绍：
每一首民谣都是每一个民谣诗人的心声，充满了和煦、温情、朴实的生活化气息，就像是依然生活在从前灿烂的年代，四合院、自行车、遛鸟、晒太阳、打哈欠……看似无聊又闲适安逸。有民谣音乐的陪伴，感觉不会那么不累。压力大时候，听听民谣，对话灵魂，跟着音乐一起漂泊，就不会孤单。

在这个独立音乐集体发声的年代里，民谣用它的真诚朴实故事和态度在孤寂的夜晚里成为越来越多年轻人浮躁身心的精神慰藉。民谣对于大多数人来说，代表着诸多自我期待里一颗恒久存在的玲珑少年心，也是记忆最清晰的寄存。民谣更像是故事、是经历、也是孤独灵魂的相遇相拥。
",51,280407,1932,81,29
485183762,"你我山前没相见，山后别相逢（宋冬野）
",D:/Project/Python/week12Crawler/result/images/109951162797841205.jpg,282278725,____女朋友____,同步歌单，随时畅听320k好音乐,22,990463,8281,198,165
7684963987,"归时人间烟火，足以凑星光
",D:/Project/Python/week12Crawler/result/images/109951167960709107.jpg,430629389,J-xxing,同步歌单，随时畅听320k好音乐,50,28,0,0,评论
16698413,"【科恩】诗意&节奏&民谣&轻快
",D:/Project/Python/week12Crawler/result/images/6052811511419464.jpg,136616,完美的灵魂,"
纯音|面朝大海，春暖花开
",20,234354,4104,77,32
7417680971,"【民谣】风吹可皱 落叶无声
",D:/Project/Python/week12Crawler/result/images/109951167385547967.jpg,3419664571,空心釉-筹点梯度,同步歌单，随时畅听320k好音乐,48,67274,365,3,评论
7732048152,"风不会再吹红我的眼.
",D:/Project/Python/week12Crawler/result/images/109951168046442789.jpg,3873872558,前女友jx,同步歌单，随时畅听320k好音乐,23,17,0,0,评论
2015717301,"女声民谣/花粥/陈粒/程璧/谢春花/房东的猫
",D:/Project/Python/week12Crawler/result/images/19027048719236490.jpg,593655950,爱生活的小怪,同步歌单，随时畅听320k好音乐,544,941894,10686,119,83
2035328630,"『声声慢』时光和诗 陈鸿宇 张小九 崔开潮
",D:/Project/Python/week12Crawler/result/images/19082024300587290.jpg,275648504,随意行去,同步歌单，随时畅听320k好音乐,74,246152,2656,55,15
2055686309,"陈鸿宇 马頔 宋冬野 陈粒 JAM 房东的猫
",D:/Project/Python/week12Crawler/result/images/19102915021602969.jpg,569264365,陳街暖陽,同步歌单，随时畅听320k好音乐,73,37353,516,3,9
7622581223,"相遇不一定有结局，但一定有意义。
",D:/Project/Python/week12Crawler/result/images/109951163622684745.jpg,347763734,-狗的的士-,同步歌单，随时畅听320k好音乐,59,62,1,0,评论
2157847238,"『致敬海子』从明天起，做一个幸福的人
",D:/Project/Python/week12Crawler/result/images/19133701347126927.jpg,310043581,华语音乐集,同步歌单，随时畅听320k好音乐,23,210918,3477,66,63
7763683060,"folklore: the long pond studio sessions
",D:/Project/Python/week12Crawler/result/images/109951165495504865.jpg,3309428671,FatLambbbb,同步歌单，随时畅听320k好音乐,17,2,0,0,评论
29225092,"理想主义者【国产民谣】
",D:/Project/Python/week12Crawler/result/images/6669637534717867.jpg,36844034,IMAGinE-TATToo,同步歌单，随时畅听320k好音乐,147,302982,2603,55,101
7737226262,"『流行听腻了就回味』
",D:/Project/Python/week12Crawler/result/images/109951168045240541.jpg,1334742503,小镇青年乀,同步歌单，随时畅听320k好音乐,59,15,0,0,评论
7701990281,"Nick Drake
",D:/Project/Python/week12Crawler/result/images/109951164565484556.jpg,1539760537,David-Dylan,同步歌单，随时畅听320k好音乐,45,44,0,0,评论
7700219297,"记忆中你的脸早已模糊
",D:/Project/Python/week12Crawler/result/images/109951167343222893.jpg,1762829550,请善待小张,同步歌单，随时畅听320k好音乐,36,26,0,0,评论
873387316,"民谣穷的只剩故事
",D:/Project/Python/week12Crawler/result/images/109951163973153432.jpg,562182367,晚睡的小zz,同步歌单，随时畅听320k好音乐,105,3116826,19652,494,38
2870214925,"「民谣歌者」一切高贵的情感都羞于表白
",D:/Project/Python/week12Crawler/result/images/109951164190589369.jpg,201586,原创君,同步歌单，随时畅听320k好音乐,37,2784452,22202,219,73
7632110763,"民谣——伤心的时候来听听吧
",D:/Project/Python/week12Crawler/result/images/109951167866721017.jpg,5130984772,宋奕忻,"
纯音|面朝大海，春暖花开
",62,177,0,0,评论
2242881912,"五十首走心民谣，致我们终将逝去的青春
",D:/Project/Python/week12Crawler/result/images/109951165850754873.jpg,68014748,薛定谔的缝纫机,"
纯音|面朝大海，春暖花开
",63,7597163,51496,687,328
2460890418,"一路向北（民谣）
",D:/Project/Python/week12Crawler/result/images/109951163594148873.jpg,606814663,塞纳河畔离岸的风,"
纯音|面朝大海，春暖花开
",66,5214392,39904,781,90
518470994,"小清新民谣|一听就会爱上的歌
",D:/Project/Python/week12Crawler/result/images/109951162875623128.jpg,272942008,被强煎的双黄蛋,"
纯音|面朝大海，春暖花开
",60,24088744,294465,3313,997
7723042049,"民谣： 日落尤其温柔，人间皆是浪漫。
",D:/Project/Python/week12Crawler/result/images/109951168027326829.jpg,396325560,DECZRY,"
纯音|面朝大海，春暖花开
",23,24,0,0,评论
2021143410,"宋胖子 赵雷 马頔 夏小虎 等
",D:/Project/Python/week12Crawler/result/images/18760966906943416.jpg,485318525,花文居,"by樱花糖音乐分享
",75,94486,1424,12,8
7744562400,"民谣精选｜献往后余生的雅淡之美
",D:/Project/Python/week12Crawler/result/images/109951168056422034.jpg,1360325059,老威廉的米奇,"
纯音|面朝大海，春暖花开
",181,36684,170,9,2
2555913667,"一个人的夜晚离不开民谣
",D:/Project/Python/week12Crawler/result/images/109951164254050860.jpg,1646211798,凎凎_aCL1,"
纯音|面朝大海，春暖花开
",218,2010075,15013,195,71
2726688115,"【民谣】你可知道你的名字解释了我的一生
",D:/Project/Python/week12Crawler/result/images/109951164521288653.jpg,288567675,刘清浊-,"介绍：
记得四年前我在做了一个【一百只民谣】的歌单，现在想想也是蛮怀念的，进入这个圈子也快七年了，而且我相信这个时间会越来越长的，所以呢，我就稍稍花了一些时间，整理了从我开始听民谣的时候最喜欢的一些歌以及后来比较火的一些歌，做了这样一个歌单，希望可以对新入坑的朋友能够有所帮助。
",101,2131324,13710,108,71
7722351704,"一个比较走心的民谣歌单啊
",D:/Project/Python/week12Crawler/result/images/109951168024243887.jpg,268188824,他在远方l,"
纯音|面朝大海，春暖花开
",16,17,2,0,评论
772339622,"『民谣』 你是人间四月天，美好与你环相扣
",D:/Project/Python/week12Crawler/result/images/19032546276969132.jpg,135351308,Tuzki灬兔斯基,"
纯音|面朝大海，春暖花开
",100,28168,312,2,3
7758990807,"藏在心里的民谣
",D:/Project/Python/week12Crawler/result/images/109951168076686039.jpg,1895422806,LILXTYRANN,"
纯音|面朝大海，春暖花开
",18,11,0,0,评论
7622023622,"民谣‖姑娘 吉他 南北方
",D:/Project/Python/week12Crawler/result/images/109951167844768109.jpg,4957439557,腿毛少女吖_,"
纯音|面朝大海，春暖花开
",54,88,0,2,评论
868137043,"一个水瓶座的民谣歌单
",D:/Project/Python/week12Crawler/result/images/109951164495305512.jpg,559134974,cc即真理,"
纯音|面朝大海，春暖花开
",180,390846,3951,69,82
2161365723,"民谣女声☞陈粒 谢春花粥 Jam 程壁 房东的猫
",D:/Project/Python/week12Crawler/result/images/18917097556510216.jpg,286399158,竹青春无痕,"介绍：
我会把亡命天涯的勇敢还你
我会把内心的旦旦誓言还你
我会把往昔的怦然心动还你
不管，不顾，不说，也不念
是的呢
明年，我不要再喜欢你了
愿2018的你
会有一束光照亮黯淡
会有安适的清晨与傍晚
会永远笑颜灿烂如春天
也会找到令你怦然心动 亡命天涯的那个人
",149,3478302,46956,556,143
2715539900,"【民谣】故事和酒
",D:/Project/Python/week12Crawler/result/images/109951165065485840.jpg,1621616114,Nuyoah___kl,"
纯音|面朝大海，春暖花开
",369,1093228,6784,124,25
20878521,"欧美现代流行民谣♬绕指柔心的浅唱情调
",D:/Project/Python/week12Crawler/result/images/5915372557735408.jpg,6735271,欧美音乐人,"
纯音|面朝大海，春暖花开
",20,81394,1118,39,44
7515716051,"民谣耳语｜旷野之中，倾听自由的回声
",D:/Project/Python/week12Crawler/result/images/109951167612579994.jpg,110877577,雾月情书,"
纯音|面朝大海，春暖花开
",37,5584,28,0,评论
7649711760,"民谣小生｜曲终漏尽钟鸣
",D:/Project/Python/week12Crawler/result/images/109951167907539246.jpg,3928103802,苏云柚,"
纯音|面朝大海，春暖花开
",65,83,1,0,评论
6630316170,"[北欧民谣] 清新澄澈的北欧风情
",D:/Project/Python/week12Crawler/result/images/109951166035809879.jpg,1463586082,云音乐官方歌单,"
纯音|面朝大海，春暖花开
",50,3046679,17677,145,45
2585160378,"「诗意民谣」带你去远方 哪怕道阻且长
",D:/Project/Python/week12Crawler/result/images/109951163766474482.jpg,201586,原创君,"
纯音|面朝大海，春暖花开
",46,2292537,23474,262,77
7618890116,"一个人的的歌单
",D:/Project/Python/week12Crawler/result/images/109951167838220828.jpg,3888176426,薛振昊,"
纯音|面朝大海，春暖花开
",23,22,0,0,评论
7032115018,"暖心民谣｜要把开心存起来,应付苦日子
",D:/Project/Python/week12Crawler/result/images/109951166548934554.jpg,3983856407,陈渝Ya,"
纯音|面朝大海，春暖花开
",115,1978116,10409,709,35
467170498,"民谣/摇滚，唱尽人生百态
",D:/Project/Python/week12Crawler/result/images/109951166471678819.jpg,19389416,YouTube热门日推,"介绍：
人生就是这样，挂念着、烦恼着、自由着、限定着；

走出一段旅程，转头一望，却也活跃着、瑰丽着；

有着你爱的人和爱你的人，有着你喜好的事和需要你做的事，有着挂念你的人和你挂念着的人。

民谣，用最真诚的音符和平实的歌词写尽悲欢离合，也唱尽人生百态。

封面作者：Cyril Rolando
",102,6811119,67801,1013,327
55128269,"去大理，去丽江，去旅行
",D:/Project/Python/week12Crawler/result/images/7873602766879402.jpg,48100199,帐号已注销,"
纯音|面朝大海，春暖花开
",38,1117085,8674,164,137
2055470579,"宋冬野 陈粒 马頔 柳爽 陈鸿宇
",D:/Project/Python/week12Crawler/result/images/19201871068060340.jpg,416777063,帐号已注销,"
纯音|面朝大海，春暖花开
",33,35677,578,3,2
7731870999,"丨民谣丨有限的人生，无限的热爱
",D:/Project/Python/week12Crawler/result/images/109951168037757973.jpg,640499256,而我会,"
纯音|面朝大海，春暖花开
",63,13,0,0,评论
